ACCOUNT_ID,BALANCE,BANK
1485,178774,nanital BANK
4616,163270,nanital BANK
8856,155593,nanital BANK
3745,154590,nanital BANK
3869,150160,nanital BANK
9307,148206,nanital BANK
437,146213,nanital BANK
4350,145436,nanital BANK
2894,144617,nanital BANK
11141,144498,nanital BANK
6897,143768,nanital BANK
18,143609,nanital BANK
6555,134397,nanital BANK
4743,133913,nanital BANK
3785,132638,nanital BANK
1338,131752,nanital BANK
1750,131102,nanital BANK
3778,130297,nanital BANK
1780,129816,nanital BANK
3516,128585,nanital BANK
2647,128434,nanital BANK
4116,127678,nanital BANK
532,127636,nanital BANK
3255,127380,nanital BANK
1695,126808,nanital BANK
200,123651,nanital BANK
3760,122738,nanital BANK
2445,122586,nanital BANK
2824,122482,nanital BANK
3472,121694,nanital BANK
498,121608,nanital BANK
2599,121330,nanital BANK
2790,120939,nanital BANK
3153,120818,nanital BANK
3923,120570,nanital BANK
3713,120426,nanital BANK
3089,119815,nanital BANK
1127,119594,nanital BANK
9790,119241,nanital BANK
596,119151,nanital BANK
1605,119063,nanital BANK
1016,118929,nanital BANK
4078,117994,nanital BANK
2072,117397,nanital BANK
6148,117397,nanital BANK
1067,117199,nanital BANK
4342,117059,nanital BANK
2641,117023,nanital BANK
270,116900,nanital BANK
1332,116646,nanital BANK
4533,116643,nanital BANK
885,115837,nanital BANK
3069,115033,nanital BANK
3225,114813,nanital BANK
1963,114627,nanital BANK
1151,114558,nanital BANK
3253,114373,nanital BANK
1518,114097,nanital BANK
7965,113588,nanital BANK
8982,113480,nanital BANK
7944,113175,nanital BANK
699,112911,nanital BANK
1066,112713,nanital BANK
10243,112660,nanital BANK
648,112325,nanital BANK
2934,112267,nanital BANK
33,111976,nanital BANK
3503,111881,nanital BANK
1837,111641,nanital BANK
1080,111580,nanital BANK
6463,111237,nanital BANK
2574,110863,nanital BANK
2695,110825,nanital BANK
9236,110740,nanital BANK
981,109893,nanital BANK
1139,109807,nanital BANK
3756,109566,nanital BANK
2749,109484,nanital BANK
463,109414,nanital BANK
977,109408,nanital BANK
1305,108970,nanital BANK
3746,108608,nanital BANK
1919,108603,nanital BANK
3151,108602,nanital BANK
3086,108488,nanital BANK
3368,108357,nanital BANK
8026,108266,nanital BANK
2124,108250,nanital BANK
1247,107608,nanital BANK
3766,107579,nanital BANK
3466,107482,nanital BANK
1039,107448,nanital BANK
5794,107382,nanital BANK
3230,107283,nanital BANK
3999,106756,nanital BANK
1169,106502,nanital BANK
3141,106448,nanital BANK
253,106398,nanital BANK
388,106060,nanital BANK
4000,105986,nanital BANK
993,105894,nanital BANK
3942,105681,nanital BANK
904,105656,nanital BANK
3413,105592,nanital BANK
2450,105553,nanital BANK
2004,105528,nanital BANK
3315,105527,nanital BANK
11317,105347,nanital BANK
3437,105343,nanital BANK
1074,105200,nanital BANK
3160,105068,nanital BANK
1478,105062,nanital BANK
3968,104921,nanital BANK
486,104877,nanital BANK
2262,104833,nanital BANK
2884,104638,nanital BANK
4969,104556,nanital BANK
2245,104556,nanital BANK
2514,104469,nanital BANK
2885,104303,nanital BANK
3003,103815,nanital BANK
1610,103798,nanital BANK
2109,103582,nanital BANK
1281,103556,nanital BANK
2007,103512,nanital BANK
4283,103241,nanital BANK
712,103212,nanital BANK
11295,103067,nanital BANK
159,103034,nanital BANK
3891,102984,nanital BANK
9869,102938,nanital BANK
3693,102583,nanital BANK
9548,102539,nanital BANK
1452,102490,nanital BANK
5120,102070,nanital BANK
2187,101617,nanital BANK
10906,101553,nanital BANK
2681,101447,nanital BANK
8073,101335,nanital BANK
