ACCOUNT_ID,TYPE,ISSUED
4318,Gold,31-Jan-18
2472,Gold,31-Jan-18
2638,Gold,28-Feb-18
830,Gold,28-Feb-18
2670,Gold,28-Feb-18
96,Gold,28-Feb-18
2167,Gold,31-Mar-18
3972,Gold,31-Mar-18
1127,Gold,31-Mar-18
2862,Gold,30-Apr-18
3558,Gold,30-Apr-18
790,Gold,30-Apr-18
3869,Gold,31-May-18
494,Gold,31-May-18
2501,Gold,31-May-18
3484,Gold,31-May-18
2072,Gold,31-May-18
2959,Gold,31-May-18
11359,Gold,31-May-18
3778,Gold,30-Jun-18
3538,Gold,30-Jun-18
648,Gold,30-Jun-18
2124,Gold,30-Jun-18
2651,Gold,30-Jun-18
2582,Gold,30-Jun-18
106,Gold,31-Jul-18
839,Gold,31-Aug-18
446,Gold,31-Aug-18
1780,Gold,31-Aug-18
3839,Gold,31-Aug-18
3756,Gold,31-Aug-18
541,Gold,30-Sep-18
9337,Gold,31-Oct-18
422,Gold,31-Oct-18
11042,Gold,31-Oct-18
404,Gold,30-Nov-18
3735,Gold,30-Nov-18
2467,Gold,30-Nov-18
2001,Gold,31-Dec-18
3210,Gold,31-Dec-18
1766,Gold,31-Dec-18
493,Gold,31-Dec-18
4343,Gold,31-Dec-18
4894,Gold,31-Jan-19
2195,Gold,31-Jan-19
1919,Gold,31-Jan-19
7614,Gold,31-Jan-19
8625,Gold,31-Jan-19
95,Gold,31-Jan-19
1023,Gold,31-Jan-19
717,Gold,28-Feb-19
1970,Gold,28-Feb-19
1568,Gold,28-Feb-19
196,Gold,31-Mar-19
1151,Gold,31-Mar-19
2641,Gold,31-Mar-19
757,Gold,31-Mar-19
897,Gold,30-Apr-19
7487,Gold,30-Apr-19
4283,Gold,30-Apr-19
9790,Gold,30-Apr-19
3166,Gold,30-Apr-19
596,Gold,30-Apr-19
3940,Gold,31-May-19
1634,Gold,31-May-19
403,Gold,31-May-19
1626,Gold,31-May-19
3405,Gold,31-May-19
1388,Gold,31-May-19
1685,Gold,30-Jun-19
11138,Gold,30-Jun-19
8492,Gold,30-Jun-19
2111,Gold,30-Jun-19
200,Gold,31-Jul-19
1579,Gold,31-Jul-19
1467,Gold,31-Jul-19
1147,Gold,31-Jul-19
544,Gold,31-Jul-19
10227,Gold,31-Jul-19
3970,Gold,31-Jul-19
3600,Gold,31-Jul-19
5952,Gold,31-Aug-19
2707,Gold,31-Aug-19
4009,Gold,31-Aug-19
6148,Gold,31-Aug-19
730,Gold,31-Aug-19
819,Gold,31-Aug-19
2514,Gold,31-Aug-19
2716,Gold,30-Sep-19
2052,Gold,30-Sep-19
9093,Gold,30-Sep-19
4368,Gold,30-Sep-19
2779,Gold,30-Sep-19
212,Gold,30-Sep-19
5593,Gold,30-Sep-19
4352,Gold,30-Sep-19
2009,Gold,30-Sep-19
1112,Gold,30-Sep-19
3167,Gold,30-Sep-19
2877,Gold,30-Sep-19
7861,Gold,30-Sep-19
3714,Gold,31-Oct-19
2968,Gold,31-Oct-19
2301,Gold,31-Oct-19
286,Gold,31-Oct-19
411,Gold,31-Oct-19
408,Gold,31-Oct-19
7894,Gold,31-Oct-19
1994,Gold,31-Oct-19
3886,Gold,31-Oct-19
1559,Gold,31-Oct-19
2250,Gold,30-Nov-19
1225,Gold,30-Nov-19
3422,Gold,30-Nov-19
3745,Gold,30-Nov-19
4543,Gold,30-Nov-19
9422,Gold,30-Nov-19
2116,Gold,30-Nov-19
