BANK,TXN_YEAR,ACCOUNT_TYPE,TOTAL_ACCOUNTS,TOTAL_TXNS,DEPOSIT_COUNT,WITHDRAWAL_COUNT,TOTAL_BALANCE_OF_ALL_ACCOUNTS_IN_BANK,DEPOSIT_PERC,WITHDRAWAL_PERC,AVG_BALANCE,TXNS_PER_ACC
Air Bank,2020,NRI account,2,24,0,24,408512.4,0,100,204256,12
Air Bank,2020,Salary account,2,48,0,48,2280006,0,100,1140003,24
Air Bank,2021,NRI account,1,36,0,36,1897956,0,100,1897956,36
Air Bank,2021,Salary account,1,17,0,17,-49296.6,0,100,-49297,17
Air Bank,2021,Savings account,2,44,0,44,2930042,0,100,1465021,22
Bank Creditas,2020,NRI account,5,96,0,96,5672528.4,0,100,1134506,19
Bank Creditas,2020,Salary account,2,24,0,24,993438,0,100,496719,12
Bank Creditas,2020,Savings account,1,11,0,11,152106.9,0,100,152107,11
Bank Creditas,2021,NRI account,1,24,0,24,1106575.2,0,100,1106575,24
Bank Creditas,2021,Salary account,2,49,0,49,2298281.2,0,100,1149141,25
J&T Bank,2020,NRI account,1,24,0,24,1275216,0,100,1275216,24
J&T Bank,2020,Salary account,6,107,0,107,5302300.1,0,100,883717,18
J&T Bank,2021,NRI account,1,12,0,12,1006286.4,0,100,1006286,12
J&T Bank,2021,Salary account,1,22,0,22,1411113,0,100,1411113,22
Kameron bank,2020,NRI account,1,24,0,24,1024977.6,0,100,1024978,24
Kameron bank,2020,Salary account,2,48,0,48,922351.2,0,100,461176,24
Kameron bank,2020,Savings account,2,24,0,24,946822.8,0,100,473411,12
Kameron bank,2021,NRI account,1,35,0,35,255867.5,0,100,255868,35
Kameron bank,2021,Salary account,1,36,0,36,628336.8,0,100,628337,36
PPF Bank,2020,NRI account,2,49,0,49,2445827.2,0,100,1222914,25
PPF Bank,2020,Salary account,1,24,0,24,1355572.8,0,100,1355573,24
PPF Bank,2020,Savings account,2,25,0,25,1259499.8,0,100,629750,13
PPF Bank,2021,Savings account,1,12,0,12,509880,0,100,509880,12
Raiffeisen bank,2019,NRI account,1,12,0,12,329301.6,0,100,329302,12
Raiffeisen bank,2020,NRI account,1,11,0,11,121557.7,0,100,121558,11
Raiffeisen bank,2020,Salary account,2,23,0,23,1467100.8,0,100,733550,12
Raiffeisen bank,2020,Savings account,1,12,0,12,430501.2,0,100,430501,12
Raiffeisen bank,2021,NRI account,2,60,0,60,3005469.6,0,100,1502735,30
Raiffeisen bank,2021,Salary account,1,22,0,22,498979.8,0,100,498980,22
Raiffeisen bank,2021,Savings account,3,60,0,60,2003580,0,100,667860,20
