BANK,LOAN_YEAR,LOAN_MONTH,STATUS,ACCOUNT_ID,ACCOUNT_TYPE,LOAN_AMOUNT
nanital BANK,2021,1,Running Contract,1407,Salary account,11041536
nanital BANK,2021,1,Running Contract,1480,Savings account,8137800
nanital BANK,2021,1,Running Contract,1638,Savings account,2697408
nanital BANK,2021,1,Running Contract,1819,Savings account,9482616
nanital BANK,2021,1,Running Contract,1869,Savings account,2276640
nanital BANK,2021,1,Running Contract,2035,Salary account,8463744
nanital BANK,2021,1,Running Contract,2936,Savings account,28728000
nanital BANK,2021,1,Running Contract,3953,Savings account,4513896
nanital BANK,2021,1,Running Contract,4550,Salary account,3372600
nanital BANK,2021,1,Running Contract,4616,Salary account,5735856
nanital BANK,2021,1,Running Contract,5133,Salary account,4165380
nanital BANK,2021,1,Running Contract,7240,Savings account,5173440
nanital BANK,2021,1,Running Contract,7632,Salary account,8692848
nanital BANK,2021,1,Running Contract,7636,Savings account,1949664
nanital BANK,2021,1,Running Contract,8038,NRI account,1828656
nanital BANK,2021,1,Running Contract,8926,Salary account,40798080
nanital BANK,2021,1,Running Contract,10022,Salary account,10030944
nanital BANK,2021,1,Running Contract,10134,NRI account,9273024
nanital BANK,2021,1,Running Contract,10148,Savings account,1171512
nanital BANK,2021,1,Running Contract,10345,Savings account,1281660
nanital BANK,2021,1,Running Contract,10445,Salary account,1428132
nanital BANK,2021,1,Running Contract,10478,Salary account,18732000
nanital BANK,2021,2,Running Contract,785,Savings account,8116992
nanital BANK,2021,2,Running Contract,873,Salary account,9996000
nanital BANK,2021,2,Running Contract,2545,Savings account,23154336
nanital BANK,2021,2,Running Contract,3875,NRI account,6619248
nanital BANK,2021,2,Running Contract,4456,Savings account,16704480
nanital BANK,2021,2,Running Contract,7082,Salary account,10484640
nanital BANK,2021,2,Running Contract,7713,Savings account,14108160
nanital BANK,2021,2,Running Contract,7997,Salary account,13334448
nanital BANK,2021,2,Running Contract,8523,NRI account,6698592
nanital BANK,2021,2,Running Contract,9179,Salary account,12902400
nanital BANK,2021,2,Running Contract,9201,Savings account,8573040
nanital BANK,2021,2,Running Contract,9455,NRI account,20237040
nanital BANK,2021,2,Running Contract,10493,Savings account,9098400
nanital BANK,2021,2,Running Contract,10650,NRI account,9026304
nanital BANK,2021,3,Running Contract,440,Savings account,5057280
nanital BANK,2021,3,Running Contract,2142,Salary account,1236384
nanital BANK,2021,3,Running Contract,3390,Savings account,2031600
nanital BANK,2021,3,Running Contract,3906,NRI account,15727140
nanital BANK,2021,3,Running Contract,3907,Salary account,8030880
nanital BANK,2021,3,Running Contract,5164,Savings account,1006020
nanital BANK,2021,3,Running Contract,5305,Salary account,12266928
nanital BANK,2021,3,Running Contract,7274,NRI account,2501244
nanital BANK,2021,3,Running Contract,9153,Savings account,3708756
nanital BANK,2021,3,Running Contract,9167,NRI account,22866480
