BANK,ACCOUNT_ID,LAST_TXN_DATE,CLOSING_BALANCE
Sky Bank,576,31-Dec-19,38516.2
Sky Bank,577,31-Dec-19,18963.6
Sky Bank,580,31-Dec-19,19587.9
Sky Bank,582,31-Dec-19,14624.2
Sky Bank,584,31-Dec-19,18804.3
Sky Bank,586,31-Dec-19,16905.2
Sky Bank,588,31-Dec-19,16188.3
Sky Bank,590,31-Dec-19,39469.1
Sky Bank,593,31-Dec-19,41143.7
Sky Bank,594,31-Dec-19,21865.6
Sky Bank,596,31-Dec-19,86657.4
Sky Bank,597,31-Dec-19,26603
Sky Bank,599,31-Dec-19,18416.6
Sky Bank,601,31-Dec-19,17427.8
Sky Bank,602,31-Dec-19,11701
Sky Bank,603,31-Dec-19,53215.7
Sky Bank,604,31-Dec-19,41572.8
Sky Bank,607,31-Dec-19,20406.3
Sky Bank,608,31-Dec-19,18093.2
Sky Bank,609,31-Dec-19,23989.9
Sky Bank,610,31-Dec-19,70372.2
Sky Bank,612,31-Dec-19,12121.9
Sky Bank,613,31-Dec-19,44865.2
Sky Bank,615,31-Dec-19,16916.1
Sky Bank,616,31-Dec-19,18046.1
Sky Bank,617,31-Dec-19,49930.9
Sky Bank,618,31-Dec-19,76624.4
Sky Bank,619,31-Dec-19,70352
Sky Bank,621,31-Dec-19,49466.1
Sky Bank,623,31-Dec-19,18642.8
Sky Bank,624,31-Dec-19,68677.6
Sky Bank,625,31-Dec-19,3374
Sky Bank,626,31-Dec-19,36875.6
Sky Bank,627,31-Dec-19,67423.3
Sky Bank,628,31-Dec-19,34552.6
Sky Bank,629,31-Dec-19,11834.2
Sky Bank,630,31-Dec-19,17792.7
Sky Bank,631,31-Dec-19,17513.8
Sky Bank,632,31-Dec-19,14983.7
Sky Bank,633,31-Dec-19,22589.8
Sky Bank,635,31-Dec-19,-424.4
Sky Bank,637,31-Dec-19,20568.4
Sky Bank,638,31-Dec-19,33854.4
Sky Bank,640,31-Dec-19,28022.2
Sky Bank,646,31-Dec-19,30831.9
Sky Bank,648,31-Dec-19,69058.5
Sky Bank,649,31-Dec-19,51880.1
Sky Bank,650,31-Dec-19,21702.5
Sky Bank,651,31-Dec-19,69932.6
Sky Bank,652,31-Dec-19,54669.5
Sky Bank,654,31-Dec-19,31733.8
Sky Bank,655,31-Dec-19,79707.2
Sky Bank,656,31-Dec-19,41014
Sky Bank,657,31-Dec-19,35916.5
Sky Bank,658,31-Dec-19,25606.2
Sky Bank,660,31-Dec-19,29530.1
Sky Bank,662,31-Dec-19,17266.1
Sky Bank,665,31-Dec-19,49045.7
Sky Bank,666,31-Dec-19,43465.1
Sky Bank,669,31-Dec-19,14986.1
Sky Bank,674,31-Dec-19,28393.4
Sky Bank,675,31-Dec-19,36635.5
Sky Bank,676,31-Dec-19,19083.2
Sky Bank,678,31-Dec-19,16723.5
Sky Bank,683,31-Dec-19,45589.4
Sky Bank,684,31-Dec-19,12851.3
Sky Bank,685,31-Dec-19,23531.7
Sky Bank,686,31-Dec-19,23150.5
Sky Bank,687,31-Dec-19,25740.1
Sky Bank,688,31-Dec-19,30526.2
Sky Bank,689,31-Dec-19,29327.4
Sky Bank,690,31-Dec-19,32027.1
Sky Bank,691,31-Dec-19,11675
Sky Bank,692,31-Dec-19,61721.6
Sky Bank,693,31-Dec-19,38888.2
Sky Bank,694,31-Dec-19,25874.2
Sky Bank,695,31-Dec-19,38647.1
Sky Bank,697,31-Dec-19,86950.9
Sky Bank,698,31-Dec-19,38744.6
Sky Bank,699,31-Dec-19,55414.1
Sky Bank,700,31-Dec-19,20863.4
Sky Bank,701,31-Dec-19,54373.9
Sky Bank,702,31-Dec-19,14756.8
Sky Bank,704,31-Dec-19,40783.3
Sky Bank,706,31-Dec-19,62308.6
Sky Bank,709,31-Dec-19,36509.8
Sky Bank,710,31-Dec-19,17788
Sky Bank,711,31-Dec-19,43043.7
Sky Bank,712,31-Dec-19,89452.6
Sky Bank,714,31-Dec-19,11996.8
Sky Bank,715,31-Dec-19,56591.2
Sky Bank,716,31-Dec-19,58687.4
Sky Bank,717,31-Dec-19,56501.7
Sky Bank,718,31-Dec-19,25148.2
Sky Bank,719,31-Dec-19,30353.5
Sky Bank,720,31-Dec-19,19897.8
Sky Bank,721,31-Dec-19,26415.7
Sky Bank,725,31-Dec-19,25621.4
Sky Bank,726,31-Dec-19,27071.8
Sky Bank,728,31-Dec-19,28861.1
Sky Bank,730,31-Dec-19,30151.1
Sky Bank,731,31-Dec-19,16984.7
Sky Bank,732,31-Dec-19,48821.8
Sky Bank,733,31-Dec-19,68573.4
Sky Bank,734,31-Dec-19,19539.3
Sky Bank,737,31-Dec-19,26752.7
Sky Bank,738,31-Dec-19,89038.9
Sky Bank,739,31-Dec-19,55609.9
Sky Bank,740,31-Dec-19,23042.8
Sky Bank,741,31-Dec-19,56331.7
Sky Bank,742,31-Dec-19,19663
Sky Bank,743,31-Dec-19,30630.2
Sky Bank,744,31-Dec-19,17673.2
Sky Bank,746,31-Dec-19,21393.2
Sky Bank,747,31-Dec-19,17846.2
Sky Bank,748,31-Dec-19,44453.1
Sky Bank,750,31-Dec-19,52973.7
Sky Bank,751,31-Dec-19,20556.1
Sky Bank,753,31-Dec-19,22284.7
Sky Bank,754,31-Dec-19,27915.8
Sky Bank,757,31-Dec-19,49211.1
Sky Bank,759,31-Dec-19,49826.8
Sky Bank,761,31-Dec-19,37291.1
Sky Bank,762,31-Dec-19,22649.8
Sky Bank,763,31-Dec-19,29003.9
Sky Bank,764,31-Dec-19,20499.9
Sky Bank,766,31-Dec-19,48350.7
Sky Bank,767,31-Dec-19,28845.2
Sky Bank,770,31-Dec-19,35488.3
Sky Bank,771,31-Dec-19,34006.4
Sky Bank,772,31-Dec-19,94118.8
Sky Bank,773,31-Dec-19,39313.8
Sky Bank,774,31-Dec-19,27027.5
Sky Bank,775,31-Dec-19,68352.5
Sky Bank,776,31-Dec-19,47614.4
Sky Bank,779,31-Dec-19,40943.8
Sky Bank,780,31-Dec-19,40964
Sky Bank,781,31-Dec-19,14488.7
Sky Bank,784,31-Dec-19,50202.9
Sky Bank,786,31-Dec-19,61069.4
Sky Bank,787,31-Dec-19,21802.6
Sky Bank,788,31-Dec-19,25196.7
Sky Bank,789,31-Dec-19,18949.8
Sky Bank,790,31-Dec-19,29021.2
Sky Bank,791,31-Dec-19,21009.2
Sky Bank,793,31-Dec-19,27989.3
Sky Bank,795,31-Dec-19,50046.4
Sky Bank,797,31-Dec-19,35551.2
Sky Bank,798,31-Dec-19,28095.7
Sky Bank,802,31-Dec-19,41583.6
Sky Bank,803,31-Dec-19,7596.3
Sky Bank,804,31-Dec-19,45913.6
Sky Bank,805,31-Dec-19,22219.6
Sky Bank,807,31-Dec-19,51548.8
Sky Bank,808,31-Dec-19,17571.1
Sky Bank,809,31-Dec-19,28052.8
Sky Bank,810,31-Dec-19,22967
Sky Bank,812,31-Dec-19,48805.3
Sky Bank,813,31-Dec-19,39444.8
Sky Bank,814,31-Dec-19,20656.8
Sky Bank,815,31-Dec-19,19023.8
Sky Bank,816,31-Dec-19,31792.7
Sky Bank,817,31-Dec-19,40040.5
Sky Bank,819,31-Dec-19,41021.9
Sky Bank,820,31-Dec-19,46636.7
Sky Bank,821,31-Dec-19,22614.8
Sky Bank,822,31-Dec-19,21316.6
Sky Bank,824,31-Dec-19,30450.5
Sky Bank,825,31-Dec-19,28840.7
Sky Bank,826,31-Dec-19,36375.5
Sky Bank,827,31-Dec-19,17693.3
Sky Bank,829,31-Dec-19,7189.6
Sky Bank,830,31-Dec-19,66300.7
Sky Bank,832,31-Dec-19,16265.2
Sky Bank,833,31-Dec-19,17467.7
Sky Bank,836,31-Dec-19,31047.6
Sky Bank,837,31-Dec-19,71340.5
Sky Bank,839,31-Dec-19,87614.5
Sky Bank,840,31-Dec-19,72269.5
Sky Bank,841,31-Dec-19,39186.2
Sky Bank,842,31-Dec-19,11061
Sky Bank,844,31-Dec-19,53084.2
Sky Bank,846,31-Dec-19,72644
Sky Bank,847,31-Dec-19,19549.3
Sky Bank,848,31-Dec-19,26702.9
Sky Bank,849,31-Dec-19,15111.7
Sky Bank,851,31-Dec-19,56047
Sky Bank,853,31-Dec-19,48028.4
Sky Bank,854,31-Dec-19,24591.5
Sky Bank,855,31-Dec-19,40626.8
Sky Bank,856,31-Dec-19,33320.4
Sky Bank,857,31-Dec-19,15018.9
Sky Bank,858,31-Dec-19,51121
Sky Bank,860,31-Dec-19,28203.9
Sky Bank,861,31-Dec-19,16373
Sky Bank,862,31-Dec-19,57081.7
Sky Bank,863,31-Dec-19,78653.7
Sky Bank,865,31-Dec-19,16004.5
Sky Bank,866,31-Dec-19,40762.2
Sky Bank,870,31-Dec-19,19055.3
Sky Bank,871,31-Dec-19,75354.9
Sky Bank,874,31-Dec-19,22835.3
Sky Bank,875,31-Dec-19,29464
Sky Bank,877,31-Dec-19,31991.6
Sky Bank,878,31-Dec-19,44424.3
Sky Bank,882,31-Dec-19,28153.6
Sky Bank,883,31-Dec-19,45424.9
Sky Bank,884,31-Dec-19,24573.4
Sky Bank,885,31-Dec-19,77980.9
Sky Bank,886,31-Dec-19,75320.1
Sky Bank,887,31-Dec-19,15514.4
Sky Bank,890,31-Dec-19,18250.1
Sky Bank,891,31-Dec-19,35443
Sky Bank,892,31-Dec-19,21999.2
Sky Bank,893,31-Dec-19,94112.4
Sky Bank,894,31-Dec-19,11711.2
Sky Bank,895,31-Dec-19,16741
Sky Bank,896,31-Dec-19,22147.5
Sky Bank,897,31-Dec-19,57093
Sky Bank,898,31-Dec-19,40554
Sky Bank,899,31-Dec-19,29196.9
Sky Bank,900,31-Dec-19,14243.7
Sky Bank,901,31-Dec-19,28943
Sky Bank,902,31-Dec-19,24477.5
Sky Bank,903,31-Dec-19,13358.8
Sky Bank,904,31-Dec-19,79387.9
Sky Bank,907,31-Dec-19,18529.4
Sky Bank,908,31-Dec-19,55469.9
Sky Bank,911,31-Dec-19,49480.9
Sky Bank,913,31-Dec-19,22402.4
Sky Bank,914,31-Dec-19,19424.3
Sky Bank,915,31-Dec-19,50122.8
Sky Bank,916,31-Dec-19,38106.6
Sky Bank,917,31-Dec-19,33971.8
Sky Bank,920,31-Dec-19,22166.3
Sky Bank,921,31-Dec-19,20443.5
Sky Bank,922,31-Dec-19,28991.6
Sky Bank,923,31-Dec-19,25196.2
Sky Bank,924,31-Dec-19,11750.9
Sky Bank,925,31-Dec-19,55169.2
Sky Bank,926,31-Dec-19,10569.2
Sky Bank,928,31-Dec-19,47112.5
Sky Bank,929,31-Dec-19,27187.1
Sky Bank,930,31-Dec-19,40971.1
Sky Bank,931,31-Dec-19,27558.9
Sky Bank,932,31-Dec-19,26097
Sky Bank,933,31-Dec-19,30861.9
Sky Bank,936,31-Dec-19,23409.8
Sky Bank,937,31-Dec-19,29158.3
Sky Bank,939,31-Dec-19,21679.9
Sky Bank,940,31-Dec-19,99897.8
Sky Bank,941,31-Dec-19,13502
Sky Bank,942,31-Dec-19,17114.1
Sky Bank,943,31-Dec-19,20986.4
Sky Bank,944,31-Dec-19,50688.8
Sky Bank,945,31-Dec-19,57727.2
Sky Bank,946,31-Dec-19,48964.2
Sky Bank,947,31-Dec-19,26335
Sky Bank,949,31-Dec-19,10312
Sky Bank,950,31-Dec-19,88189.4
Sky Bank,951,31-Dec-19,21789.3
Sky Bank,953,31-Dec-19,34635.6
Sky Bank,954,31-Dec-19,33998.1
Sky Bank,955,31-Dec-19,56425.8
Sky Bank,956,31-Dec-19,44990
Sky Bank,957,31-Dec-19,18809.6
Sky Bank,958,31-Dec-19,33143.3
Sky Bank,959,31-Dec-19,17319.3
Sky Bank,960,31-Dec-19,55077.8
Sky Bank,962,31-Dec-19,26302.8
Sky Bank,963,31-Dec-19,49358
Sky Bank,964,31-Dec-19,43973.2
Sky Bank,965,31-Dec-19,18966.7
Sky Bank,967,31-Dec-19,57322.9
Sky Bank,968,31-Dec-19,19517.7
Sky Bank,969,31-Dec-19,67959.6
Sky Bank,971,31-Dec-19,36021.4
Sky Bank,973,31-Dec-19,31790.5
Sky Bank,974,31-Dec-19,73990.2
Sky Bank,976,31-Dec-19,44086.4
Sky Bank,977,31-Dec-19,74069
Sky Bank,978,31-Dec-19,44005.1
Sky Bank,979,31-Dec-19,36264.2
Sky Bank,981,31-Dec-19,58017.1
Sky Bank,982,31-Dec-19,28694.2
Sky Bank,984,31-Dec-19,46759.9
Sky Bank,985,31-Dec-19,18818.8
Sky Bank,986,31-Dec-19,23691.5
Sky Bank,987,31-Dec-19,43054.2
Sky Bank,988,31-Dec-19,31679.3
Sky Bank,989,31-Dec-19,15864.8
Sky Bank,990,31-Dec-19,60073.5
Sky Bank,991,31-Dec-19,75670.9
Sky Bank,992,31-Dec-19,20002.7
Sky Bank,993,31-Dec-19,35109.4
Sky Bank,994,31-Dec-19,26099.1
Sky Bank,995,31-Dec-19,21559
Sky Bank,998,31-Dec-19,29830.9
Sky Bank,1000,31-Dec-19,83238.1
Sky Bank,1002,31-Dec-19,25284.3
Sky Bank,1003,31-Dec-19,62990
Sky Bank,1004,31-Dec-19,58253.7
Sky Bank,1005,31-Dec-19,92421.4
Sky Bank,1006,31-Dec-19,33316.9
Sky Bank,1007,31-Dec-19,33381.8
Sky Bank,1008,31-Dec-19,18477
Sky Bank,1009,31-Dec-19,54588.3
Sky Bank,1010,31-Dec-19,49303.5
Sky Bank,1011,31-Dec-19,68876.4
Sky Bank,1012,31-Dec-19,38990.6
Sky Bank,1013,31-Dec-19,14324.1
Sky Bank,1014,31-Dec-19,21411
Sky Bank,1016,31-Dec-19,101681.2
Sky Bank,1017,31-Dec-19,48211.4
Sky Bank,1018,31-Dec-19,17895.5
Sky Bank,1019,31-Dec-19,52656.8
Sky Bank,1020,31-Dec-19,27389.8
Sky Bank,1022,31-Dec-19,43020.2
Sky Bank,1023,31-Dec-19,31892.7
Sky Bank,1029,31-Dec-19,42254.6
Sky Bank,1030,31-Dec-19,27711.3
Sky Bank,1031,31-Dec-19,32098.7
Sky Bank,1032,31-Dec-19,59834.4
Sky Bank,1036,31-Dec-19,48069
Sky Bank,1038,31-Dec-19,18121.5
Sky Bank,1039,31-Dec-19,61847.3
Sky Bank,1040,31-Dec-19,24311.3
Sky Bank,1042,31-Dec-19,47758.8
Sky Bank,1044,31-Dec-19,53152
Sky Bank,1045,31-Dec-19,26162.2
Sky Bank,1046,31-Dec-19,31999.3
Sky Bank,1047,31-Dec-19,20936.6
Sky Bank,1048,31-Dec-19,18723.7
Sky Bank,1050,31-Dec-19,76236.2
Sky Bank,1051,31-Dec-19,58383.8
Sky Bank,1052,31-Dec-19,13813.5
Sky Bank,1053,31-Dec-19,27686.4
Sky Bank,1054,31-Dec-19,25839.7
Sky Bank,1057,31-Dec-19,16162.3
Sky Bank,1058,31-Dec-19,84438.2
Sky Bank,1059,31-Dec-19,12650.2
Sky Bank,1062,31-Dec-19,57741.2
Sky Bank,1063,31-Dec-19,28654.6
Sky Bank,1065,31-Dec-19,39043.2
Sky Bank,1066,31-Dec-19,50338
Sky Bank,1067,31-Dec-19,58363
Sky Bank,1069,31-Dec-19,19912.3
Sky Bank,1070,31-Dec-19,31368.2
Sky Bank,1071,31-Dec-19,28620.4
Sky Bank,1073,31-Dec-19,43140.2
Sky Bank,1074,31-Dec-19,74948.7
Sky Bank,1075,31-Dec-19,29651.3
Sky Bank,1076,31-Dec-19,45036.7
Sky Bank,1077,31-Dec-19,49361.5
Sky Bank,1078,31-Dec-19,22822.4
Sky Bank,1079,31-Dec-19,41166.8
Sky Bank,1080,31-Dec-19,71446.9
Sky Bank,1082,31-Dec-19,15066
Sky Bank,1083,31-Dec-19,17838.2
Sky Bank,1086,31-Dec-19,15360.8
Sky Bank,1087,31-Dec-19,44421.6
Sky Bank,1088,31-Dec-19,30816.7
Sky Bank,1089,31-Dec-19,39157.9
Sky Bank,1090,31-Dec-19,22904.3
Sky Bank,1091,31-Dec-19,49495.7
Sky Bank,1092,31-Dec-19,22608.6
Sky Bank,1093,31-Dec-19,15863.8
Sky Bank,1094,31-Dec-19,26807
Sky Bank,1097,31-Dec-19,45773.1
Sky Bank,1098,31-Dec-19,12101.8
Sky Bank,1102,31-Dec-19,22429.1
Sky Bank,1103,31-Dec-19,46374.8
Sky Bank,1104,31-Dec-19,46347.4
Sky Bank,1105,31-Dec-19,12219.3
Sky Bank,1106,31-Dec-19,92636.3
Sky Bank,1107,31-Dec-19,30988.9
Sky Bank,1108,31-Dec-19,36377.9
Sky Bank,1109,31-Dec-19,52948.9
Sky Bank,1111,31-Dec-19,45480.5
Sky Bank,1112,31-Dec-19,57931.9
Sky Bank,1113,31-Dec-19,39292.7
Sky Bank,1114,31-Dec-19,19691.5
Sky Bank,1115,31-Dec-19,17367.6
Sky Bank,1116,31-Dec-19,53714.8
Sky Bank,1118,31-Dec-19,19047.7
Sky Bank,1120,31-Dec-19,17641.3
Sky Bank,1121,31-Dec-19,52265.2
Sky Bank,1122,31-Dec-19,34931
Sky Bank,1123,31-Dec-19,24718.2
Sky Bank,1124,31-Dec-19,32614.6
Sky Bank,1126,31-Dec-19,50610.6
Sky Bank,1127,31-Dec-19,57124.2
Sky Bank,1128,31-Dec-19,36391.7
Sky Bank,1129,31-Dec-19,41621
Sky Bank,1132,31-Dec-19,47789.9
Sky Bank,1133,31-Dec-19,16147.3
Sky Bank,1134,31-Dec-19,17397
Sky Bank,1135,31-Dec-19,26117.6
Sky Bank,1136,31-Dec-19,34608
