DISTRICT_NAME,AVERAGE_SALARY,AVG_AGE,MALE_CLIENT,FEMALE_CLIENT,TOTAL_CLIENT,MALE_FEMALE_RATIO_PERC
Benesov,8507,38,23,23,46,100
Beroun,8980,45,38,25,63,65.79
Blansko,8240,41,35,22,57,62.86
Breclav,8772,40,34,20,54,58.82
Brno - mesto,9897,42,90,65,155,72.22
Brno - venkov,8743,50,26,37,63,142.31
Bruntal,8110,49,24,21,45,87.5
Ceska Lipa,9272,45,28,27,55,96.43
Ceske Budejovice,10045,43,25,20,45,80
Cesky Krumlov,9045,42,33,30,63,90.91
Cheb,8624,44,30,23,53,76.67
Chomutov,9675,52,16,29,45,181.25
Chrudim,8254,43,33,21,54,63.64
Decin,8705,47,39,30,69,76.92
Domazlice,8620,44,25,26,51,104
Frydek - Mistek,9893,45,46,40,86,86.96
Havlickuv Brod,8388,43,28,31,59,110.71
Hl.m. Praha,12541,44,338,325,663,96.15
Hodonin,8720,46,23,28,51,121.74
Hradec Kralove,9425,44,27,28,55,103.7
Jablonec n. Nisou,8867,42,37,19,56,51.35
Jesenik,8173,40,33,28,61,84.85
Jicin,8390,44,27,25,52,92.59
Jihlava,8757,45,27,17,44,62.96
Jindrichuv Hradec,8427,44,32,29,61,90.63
Karlovy Vary,8991,46,18,25,43,138.89
Karvina,10177,44,88,81,169,92.05
Kladno,9753,44,23,27,50,117.39
Klatovy,8554,47,24,24,48,100
Kolin,9307,42,37,34,71,91.89
Kromeriz,8444,42,33,31,64,93.94
Kutna Hora,8546,45,23,30,53,130.43
Liberec,9198,41,35,32,67,91.43
Litomerice,9065,41,22,26,48,118.18
Louny,8965,43,37,28,65,75.68
Melnik,9920,43,19,26,45,136.84
Mlada Boleslav,11277,41,42,27,69,64.29
Most,10446,41,22,30,52,136.36
Nachod,8369,44,35,41,76,117.14
Novy Jicin,8678,44,19,29,48,152.63
Nymburk,8899,39,29,31,60,106.9
Olomouc,8994,48,48,56,104,116.67
Opava,8746,43,31,29,60,93.55
Ostrava - mesto,10673,43,87,93,180,106.9
Pardubice,9538,44,34,29,63,85.29
Pelhrimov,8114,44,34,20,54,58.82
Pisek,8968,41,31,29,60,93.55
Plzen - jih,8561,42,30,25,55,83.33
Plzen - mesto,10787,44,26,24,50,92.31
Plzen - sever,8594,42,28,26,54,92.86
Prachatice,8402,45,26,40,66,153.85
Praha - vychod,10124,47,21,33,54,157.14
Praha - zapad,9622,45,31,25,56,80.65
Prerov,8819,47,26,30,56,115.38
Pribram,8754,45,27,17,44,62.96
Prostejov,8441,42,20,41,61,205
Rakovnik,8598,47,22,31,53,140.91
Rokycany,8843,42,25,29,54,116
Rychnov nad Kneznou,9060,41,28,32,60,114.29
Semily,8208,45,22,24,46,109.09
Sokolov,9650,45,27,21,48,77.78
Strakonice,8547,44,26,17,43,65.38
Sumperk,8369,47,30,31,61,103.33
Svitavy,8187,44,32,29,61,90.63
Tabor,9104,45,25,32,57,128
Tachov,8930,44,27,32,59,118.52
Teplice,9317,47,36,23,59,63.89
Trebic,8814,40,31,23,54,74.19
Trutnov,8541,46,42,19,61,45.24
Uherske Hradiste,8544,42,36,23,59,63.89
Usti nad Labem,9832,40,25,20,45,80
Usti nad Orlici,8363,41,37,36,73,97.3
Vsetin,8909,43,29,21,50,72.41
Vyskov,8288,45,29,27,56,93.1
Zdar nad Sazavou,8512,44,25,41,66,164
Zlin,9624,44,60,49,109,81.67
Znojmo,8403,45,29,15,44,51.72
