ACCOUNT_ID,SUM,COUNT,ACCOUNT_TYPE
4361,524934,5,Savings account
5283,468551,5,Savings account
11317,458521,5,Savings account
11079,417825,5,Savings account
270,416950,5,Savings account
2450,409460,5,Savings account
1519,407238,5,Savings account
8856,401150,5,Savings account
9548,386939,5,Savings account
3507,382782,5,Savings account
3153,364309,5,Savings account
525,360650,5,Savings account
2726,351832,5,Savings account
839,349651,5,Savings account
2547,348708,5,Savings account
4195,346598,5,Savings account
3163,344662,5,Savings account
255,338995,5,Savings account
10297,337529,5,Savings account
4283,336880,5,Savings account
189,335058,5,Savings account
4009,334891,5,Savings account
3230,329071,5,Savings account
3167,325424,5,Savings account
10001,322697,5,Savings account
1029,320687,5,Savings account
10493,319021,5,Savings account
452,316999,5,Savings account
4851,314589,5,Savings account
804,312449,5,Savings account
1581,312391,5,Savings account
7795,311365,5,Savings account
2729,310547,5,Savings account
1482,307336,5,Savings account
3770,305381,5,Savings account
3071,301969,5,Savings account
3233,301747,5,Savings account
1461,301706,5,Savings account
974,300952,5,Savings account
2517,300689,5,Savings account
3725,298312,5,Savings account
679,298131,5,Savings account
618,295683,5,Savings account
1003,294791,5,Savings account
7907,294227,5,Savings account
11138,292769,5,Savings account
2831,292511,5,Savings account
10963,287668,5,Savings account
1611,287036,5,Savings account
2624,286230,5,Savings account
458,282209,5,Savings account
5794,280725,5,Savings account
4276,279709,5,Savings account
4416,279617,5,Savings account
1324,278748,5,Savings account
3235,275083,5,Savings account
3307,274698,5,Savings account
8094,274595,5,Savings account
108,272979,5,Savings account
3249,271647,5,Savings account
3238,270374,5,Savings account
8547,268850,5,Savings account
1427,268587,5,Savings account
1800,268318,5,Savings account
716,268312,5,Savings account
2628,267744,5,Savings account
2026,266064,5,Savings account
4368,265101,5,Savings account
6985,264275,5,Savings account
3865,264246,5,Savings account
1113,263960,5,Savings account
3942,263177,5,Savings account
1798,262816,5,Savings account
1876,261515,5,Savings account
2530,261178,5,Savings account
6649,260875,5,Savings account
6950,258817,5,Savings account
1870,258222,5,Savings account
158,257503,5,Savings account
1342,256237,5,Savings account
9192,255779,5,Savings account
57,255484,5,Savings account
7636,253640,5,Savings account
2278,252123,5,Savings account
675,250885,5,Savings account
1727,249980,5,Savings account
2424,249481,5,Savings account
741,248530,5,Savings account
303,248482,5,Savings account
3111,244759,5,Savings account
2905,244276,5,Savings account
3772,242400,5,Savings account
785,241758,5,Savings account
1348,239898,5,Savings account
48,238946,5,Savings account
5269,238850,5,Savings account
878,238396,5,Savings account
2280,236934,5,Savings account
2953,235282,5,Savings account
2446,234473,5,Savings account
6397,233194,5,Savings account
6686,233022,5,Savings account
2310,231534,5,Savings account
3534,230410,5,Savings account
3947,230385,5,Savings account
52,230201,5,Savings account
1450,228659,5,Savings account
2652,227676,5,Savings account
2890,226093,5,Savings account
2069,226081,5,Savings account
853,222585,5,Savings account
3887,222580,5,Savings account
1360,222074,5,Savings account
1104,221889,5,Savings account
877,221251,5,Savings account
1556,219723,5,Savings account
9153,217562,5,Savings account
3366,214817,5,Savings account
798,213571,5,Savings account
1647,212412,5,Savings account
898,211247,5,Savings account
1560,210480,5,Savings account
2210,209269,5,Savings account
440,208726,5,Savings account
3137,207933,5,Savings account
2914,207193,5,Savings account
964,206031,5,Savings account
2615,204628,5,Savings account
2959,203805,5,Savings account
1663,202762,5,Savings account
2390,202722,5,Savings account
1793,202688,5,Savings account
1421,202335,5,Savings account
260,201994,5,Savings account
2936,201769,5,Savings account
1124,200506,5,Savings account
2399,200238,5,Savings account
2622,198884,5,Savings account
1906,198411,5,Savings account
2441,195571,5,Savings account
692,192368,5,Savings account
3329,191389,5,Savings account
3179,190753,5,Savings account
2499,189128,5,Savings account
120,189065,5,Savings account
1555,188439,5,Savings account
2716,187776,5,Savings account
249,187533,5,Savings account
1627,187526,5,Savings account
3362,185784,5,Savings account
7713,183608,5,Savings account
2059,182530,5,Savings account
581,181924,5,Savings account
6495,180978,5,Savings account
2916,180390,5,Savings account
1395,179287,5,Savings account
622,179184,5,Savings account
2235,177980,5,Savings account
3626,177897,5,Savings account
1638,177585,5,Savings account
1383,175814,5,Savings account
5742,175479,5,Savings account
2394,175441,5,Savings account
1557,174832,5,Savings account
276,174796,5,Savings account
2143,172934,5,Savings account
377,171027,5,Savings account
4082,170701,5,Savings account
3997,169383,5,Savings account
3784,168943,5,Savings account
749,168391,5,Savings account
9031,168353,5,Savings account
1398,166869,5,Savings account
1821,166652,5,Savings account
10361,165963,5,Savings account
3266,165919,5,Savings account
131,164289,5,Savings account
2309,163296,5,Savings account
2258,162349,5,Savings account
560,159817,5,Savings account
6138,158049,5,Savings account
9024,158017,5,Savings account
2165,156917,5,Savings account
1327,154196,5,Savings account
2608,151698,5,Savings account
2610,150809,5,Savings account
2358,148536,5,Savings account
1659,148088,5,Savings account
1187,147892,5,Savings account
3120,146839,5,Savings account
4981,146336,5,Savings account
2961,145159,5,Savings account
3881,142583,5,Savings account
1403,142544,5,Savings account
1728,141844,5,Savings account
2723,140689,5,Savings account
2212,138209,5,Savings account
4328,136894,5,Savings account
3797,135525,5,Savings account
788,133928,5,Savings account
658,133790,5,Savings account
283,133507,5,Savings account
1351,132420,5,Savings account
1716,132351,5,Savings account
827,132229,5,Savings account
958,131304,5,Savings account
2264,130178,5,Savings account
2064,129743,5,Savings account
3021,129616,5,Savings account
113,129253,5,Savings account
3338,127363,5,Savings account
3783,126734,5,Savings account
2468,126515,5,Savings account
2166,125864,5,Savings account
500,125795,5,Savings account
1308,124729,5,Savings account
986,124486,5,Savings account
870,124279,5,Savings account
808,124236,5,Savings account
829,123723,5,Savings account
2205,123589,5,Savings account
2006,122966,5,Savings account
2090,122805,5,Savings account
155,121861,5,Savings account
1799,119166,5,Savings account
2675,119083,5,Savings account
